,branch,label,base,"('Line', 'ln7-8')",snapshot
0,Transformer,xf1-4,74.99999999999166,74.99999999999388,2024-04-11 00:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 00:00:00+00:00
2,Transformer,xf9-3,0.0,8.261714294061234e-12,2024-04-11 00:00:00+00:00
3,Line,ln4-5,41.79641598119153,37.49999999999138,2024-04-11 00:00:00+00:00
4,Line,ln6-4,-33.20358401880014,-37.5000000000025,2024-04-11 00:00:00+00:00
5,Line,ln6-9,-4.296415981199857,2.5055513219740533e-12,2024-04-11 00:00:00+00:00
6,Line,ln5-7,4.296415981191515,-8.626876990547316e-12,2024-04-11 00:00:00+00:00
7,Line,ln7-8,4.296415981201903,0.0,2024-04-11 00:00:00+00:00
8,Line,ln8-9,4.296415981201903,-1.7763568394002505e-15,2024-04-11 00:00:00+00:00
0,Transformer,xf1-4,58.52734374999326,58.52734374999156,2024-04-11 01:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 01:00:00+00:00
2,Transformer,xf9-3,-19.5,-19.50000000000632,2024-04-11 01:00:00+00:00
3,Line,ln4-5,35.72704791237705,39.01367187499103,2024-04-11 01:00:00+00:00
4,Line,ln6-4,-22.8002958376162,-19.513671875000526,2024-04-11 01:00:00+00:00
5,Line,ln6-9,-16.2133760373838,-19.499999999999474,2024-04-11 01:00:00+00:00
6,Line,ln5-7,-3.286623962622947,-8.969713860551565e-12,2024-04-11 01:00:00+00:00
7,Line,ln7-8,-3.286623962615325,0.0,2024-04-11 01:00:00+00:00
8,Line,ln8-9,-3.286623962615323,3.1086244689504383e-15,2024-04-11 01:00:00+00:00
0,Transformer,xf1-4,42.85937499999477,42.85937499998936,2024-04-11 02:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 02:00:00+00:00
2,Transformer,xf9-3,-38.0,-38.00000000002016,2024-04-11 02:00:00+00:00
3,Line,ln4-5,29.946602342828076,40.429687499990706,2024-04-11 02:00:00+00:00
4,Line,ln6-4,-12.912772657166693,-2.4296874999986553,2024-04-11 02:00:00+00:00
5,Line,ln6-9,-27.516914842833298,-38.000000000001336,2024-04-11 02:00:00+00:00
6,Line,ln5-7,-10.483085157171924,-9.301004411099711e-12,2024-04-11 02:00:00+00:00
7,Line,ln7-8,-10.48308515716692,0.0,2024-04-11 02:00:00+00:00
8,Line,ln8-9,-10.483085157166922,3.552713678800501e-15,2024-04-11 02:00:00+00:00
0,Transformer,xf1-4,27.99609374999621,27.99609374998729,2024-04-11 03:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 03:00:00+00:00
2,Transformer,xf9-3,-55.5,-55.50000000003325,2024-04-11 03:00:00+00:00
3,Line,ln4-5,24.455079272544587,41.748046874990415,2024-04-11 03:00:00+00:00
4,Line,ln6-4,-3.5410144774516197,13.751953125003125,2024-04-11 03:00:00+00:00
5,Line,ln6-9,-38.207032397548375,-55.500000000003126,2024-04-11 03:00:00+00:00
6,Line,ln5-7,-17.292967602455413,-9.599432360118954e-12,2024-04-11 03:00:00+00:00
7,Line,ln7-8,-17.2929676024529,0.0,2024-04-11 03:00:00+00:00
8,Line,ln8-9,-17.292967602452897,1.0658141036401503e-14,2024-04-11 03:00:00+00:00
0,Transformer,xf1-4,13.937499999997565,13.937499999985329,2024-04-11 04:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 04:00:00+00:00
2,Transformer,xf9-3,-72.0,-72.0000000000456,2024-04-11 04:00:00+00:00
3,Line,ln4-5,19.252478701526584,42.96874999999014,2024-04-11 04:00:00+00:00
4,Line,ln6-4,5.3149787015290215,29.0312500000048,2024-04-11 04:00:00+00:00
5,Line,ln6-9,-48.28372870152902,-72.0000000000048,2024-04-11 04:00:00+00:00
6,Line,ln5-7,-23.716271298473412,-9.880096740744193e-12,2024-04-11 04:00:00+00:00
7,Line,ln7-8,-23.716271298473252,0.0,2024-04-11 04:00:00+00:00
8,Line,ln8-9,-23.716271298473238,2.4868995751603507e-14,2024-04-11 04:00:00+00:00
0,Transformer,xf1-4,8.183593749998112,8.1835937499843,2024-04-11 05:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 05:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005147,2024-04-11 05:00:00+00:00
3,Line,ln4-5,17.322055623897903,44.09179687498988,2024-04-11 05:00:00+00:00
4,Line,ln6-4,9.138461873899793,35.90820312500557,2024-04-11 05:00:00+00:00
5,Line,ln6-9,-53.230258748899786,-80.00000000000557,2024-04-11 05:00:00+00:00
6,Line,ln5-7,-26.769741251102097,-1.014299755297543e-11,2024-04-11 05:00:00+00:00
7,Line,ln7-8,-26.76974125110293,0.0,2024-04-11 05:00:00+00:00
8,Line,ln8-9,-26.769741251102914,2.4868995751603507e-14,2024-04-11 05:00:00+00:00
0,Transformer,xf1-4,10.234374999997888,10.234374999984137,2024-04-11 06:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 06:00:00+00:00
2,Transformer,xf9-3,-79.99999999998545,-80.00000000003669,2024-04-11 06:00:00+00:00
3,Line,ln4-5,18.464926373383612,45.11718749998965,2024-04-11 06:00:00+00:00
4,Line,ln6-4,8.230551373385724,34.8828125000055,2024-04-11 06:00:00+00:00
5,Line,ln6-9,-53.34773887338572,-80.0000000000055,2024-04-11 06:00:00+00:00
6,Line,ln5-7,-26.65226112661639,-1.0381029369455064e-11,2024-04-11 06:00:00+00:00
7,Line,ln7-8,-26.652261126616935,0.0,2024-04-11 06:00:00+00:00
8,Line,ln8-9,-26.652261126616928,1.7763568394002505e-14,2024-04-11 06:00:00+00:00
0,Transformer,xf1-4,12.089843749997682,12.089843749983986,2024-04-11 07:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 07:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005105,2024-04-11 07:00:00+00:00
3,Line,ln4-5,19.498952289584963,46.04492187498944,2024-04-11 07:00:00+00:00
4,Line,ln6-4,7.409108539587284,33.95507812500544,2024-04-11 07:00:00+00:00
5,Line,ln6-9,-53.45403041458729,-80.00000000000546,2024-04-11 07:00:00+00:00
6,Line,ln5-7,-26.545969585415037,-1.0587086762825493e-11,2024-04-11 07:00:00+00:00
7,Line,ln7-8,-26.54596958541533,0.0,2024-04-11 07:00:00+00:00
8,Line,ln8-9,-26.545969585415328,1.4210854715202004e-14,2024-04-11 07:00:00+00:00
0,Transformer,xf1-4,13.749999999997494,13.749999999983846,2024-04-11 08:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 08:00:00+00:00
2,Transformer,xf9-3,-80.0,-80.00000000005086,2024-04-11 08:00:00+00:00
3,Line,ln4-5,20.424133372501966,46.87499999998924,2024-04-11 08:00:00+00:00
4,Line,ln6-4,6.674133372504469,33.125000000005386,2024-04-11 08:00:00+00:00
5,Line,ln6-9,-53.54913337250446,-80.00000000000537,2024-04-11 08:00:00+00:00
6,Line,ln5-7,-26.450866627498037,-1.078248601515952e-11,2024-04-11 08:00:00+00:00
7,Line,ln7-8,-26.450866627498097,0.0,2024-04-11 08:00:00+00:00
8,Line,ln8-9,-26.4508666274981,7.105427357601002e-15,2024-04-11 08:00:00+00:00
0,Transformer,xf1-4,15.214843749997328,15.214843749983725,2024-04-11 09:00:00+00:00
1,Transformer,xf2-7,0.0,0.0,2024-04-11 09:00:00+00:00
