snapshot,xf1-4,xf2-7,xf9-3
2024-04-11 00:00:00+00:00,75.0,0.0,0.0
2024-04-11 01:00:00+00:00,58.527344,0.0,-19.5
2024-04-11 02:00:00+00:00,42.859375,0.0,-38.0
2024-04-11 03:00:00+00:00,27.996094,0.0,-55.5
2024-04-11 04:00:00+00:00,13.9375,0.0,-72.0
2024-04-11 05:00:00+00:00,8.1835937,0.0,-80.0
2024-04-11 06:00:00+00:00,10.234375,0.0,-80.0
2024-04-11 07:00:00+00:00,12.089844,0.0,-80.0
2024-04-11 08:00:00+00:00,13.75,0.0,-80.0
2024-04-11 09:00:00+00:00,15.214844,0.0,-80.0
2024-04-11 10:00:00+00:00,16.484375,0.0,-80.0
2024-04-11 11:00:00+00:00,17.558594,0.0,-80.0
2024-04-11 12:00:00+00:00,18.4375,0.0,-80.0
2024-04-11 13:00:00+00:00,19.121094,0.0,-80.0
2024-04-11 14:00:00+00:00,19.609375,0.0,-80.0
2024-04-11 15:00:00+00:00,19.902344,0.0,-80.0
2024-04-11 16:00:00+00:00,20.0,0.0,-80.0
2024-04-11 17:00:00+00:00,19.902344,0.0,-80.0
2024-04-11 18:00:00+00:00,19.609375,0.0,-80.0
2024-04-11 19:00:00+00:00,19.121094,0.0,-80.0
2024-04-11 20:00:00+00:00,18.4375,0.0,-80.0
2024-04-11 21:00:00+00:00,17.558594,0.0,-80.0
2024-04-11 22:00:00+00:00,16.484375,0.0,-80.0
2024-04-11 23:00:00+00:00,15.214844,0.0,-80.0
